Time,PFT,PFM,PCC,MFT
1300.048999999999,22.553,-4.402,-2.28527,1.16672
1300.0639999999985,22.594,-4.402,-2.29142,1.18995
1300.1219999999994,22.7488,-4.42006,-2.48223,1.18269
1300.1949999999997,22.7943,-4.42006,-2.56225,1.18051
1300.2129999999995,22.8125,-4.43813,-2.59302,1.18995
1300.289000000001,22.9718,-4.46522,-2.71612,1.17398
1300.3129999999985,23.031,-4.46522,-2.67919,1.17616
1300.434000000001,23.0492,-4.49231,-2.63611,1.17543
1300.5,23.0447,-4.50134,-2.67919,1.18414
1300.530999999999,23.1039,-4.50134,-2.6238,1.1856
1300.5930000000008,23.2541,-4.50134,-2.56225,1.18777
1300.6260000000002,23.2586,-4.50134,-2.51301,1.18632
1300.673999999999,23.2723,-4.48328,-2.41453,1.18051
1300.7220000000016,23.1904,-4.46522,-2.4453,1.18124
1300.7700000000004,23.2313,-4.44716,-2.40222,1.18487
1300.8179999999993,23.2495,-4.44716,-2.34066,1.19431
1300.8660000000018,23.2814,-4.43361,-2.29142,1.18414
1300.9150000000009,23.3679,-4.41555,-2.29142,1.18923
1300.9629999999995,23.3178,-4.40652,-2.17448,1.19285
1301.012999999999,23.286,-4.40652,-2.10062,1.18487
1301.0629999999985,23.3497,-4.39297,-1.97751,1.17979
1301.1140000000014,23.3998,-4.36588,-1.85441,1.18197
1301.1630000000005,23.4954,-4.37943,-1.81133,1.18269
1301.2129999999995,23.5045,-4.37039,-1.74362,1.16963
1301.262999999999,23.3907,-4.37491,-1.76824,1.18923
1301.333999999999,23.163,-4.38846,-1.71285,1.17979
1301.3640000000014,23.1403,-4.39297,-1.66976,1.17398
1301.4569999999983,23.1175,-4.39297,-1.64514,1.17616
1301.4629999999995,23.1039,-4.39297,-1.6513,1.17471
1301.5339999999997,23.0083,-4.38394,-1.52204,1.17616
1301.5629999999985,22.9263,-4.37039,-1.49742,1.17979
1301.6539999999986,22.6896,-4.38394,-1.5959,1.18124
1301.6630000000005,22.6714,-4.39297,-1.62668,1.17906
1301.7580000000016,22.9127,-4.42458,-1.62668,1.16382
1301.7669999999998,22.9445,-4.42909,-1.63283,1.1856
1301.8669999999984,23.1949,-4.4607,-1.55281,1.15656
1301.9150000000009,23.1995,-4.47876,-1.4728,1.15438
1301.9939999999988,23.3315,-4.49682,-1.49742,1.13841
1302.012999999999,23.3588,-4.50134,-1.44202,1.14785
1302.0800000000015,23.2905,-4.51489,-1.57743,1.15003
1302.1140000000014,23.1858,-4.53295,-1.56512,1.15003
1302.2350000000006,22.9218,-4.54198,-1.43587,1.15729
1302.304,23.0083,-4.55101,-1.30661,1.15946
1302.3309999999983,23.0857,-4.53295,-1.28199,1.18269
1302.4310000000005,23.3269,-4.52843,-1.32508,1.16963
1302.4789999999994,23.3679,-4.53295,-1.42356,1.17253
1302.589,23.4817,-4.55101,-1.42971,1.16745
1302.6690000000017,23.6729,-4.53295,-1.2266,1.17108
1302.6929999999993,23.6593,-4.53295,-1.2266,1.17326
1302.786,23.1904,-4.52843,-1.26353,1.17543
1302.796999999999,23.1357,-4.52392,-1.27584,1.17543
1302.8499999999983,22.8444,-4.50586,-1.30046,1.17761
1302.9019999999982,22.685,-4.50586,-1.2943,1.17906
1302.953000000001,22.4756,-4.49682,-1.3497,1.1856
1303.0060000000012,22.3299,-4.51037,-1.36816,1.17326
1303.0950000000012,22.1342,-4.5194,-1.23891,1.15511
1303.1090000000004,22.1433,-4.5194,-1.2266,1.17471
1303.2479999999996,22.0158,-4.49231,-1.25122,1.16963
1303.3129999999985,21.9612,-4.49231,-1.28199,1.17471
1303.351999999999,21.9521,-4.49231,-1.23891,1.16454
1303.4039999999986,21.9157,-4.48779,-1.23275,1.16382
1303.4559999999983,21.8246,-4.49231,-1.18966,1.16164
1303.5080000000016,21.7245,-4.48779,-1.10965,1.16454
1303.5600000000013,21.5924,-4.47425,-0.968082,1.16309
1303.612000000001,21.4604,-4.46522,-0.943462,1.16164
1303.6630000000005,21.3648,-4.4607,-0.968082,1.14857
1303.714,21.2738,-4.45619,-1.00501,1.14712
1303.7769999999982,21.4194,-4.4607,-1.02348,1.15438
1303.8129999999985,21.6106,-4.44264,-0.986547,1.15656
1303.875,21.902,-4.45619,-1.02348,1.14494
1303.9130000000005,22.075,-4.44264,-1.02963,1.17253
1303.9720000000016,22.1934,-4.44264,-1.00501,1.166
1304.012999999999,22.3026,-4.43361,-1.00501,1.17543
1304.0639999999985,22.4073,-4.42458,-0.961927,1.19721
1304.1140000000014,22.4392,-4.42909,-0.955772,1.17761
1304.1800000000003,22.3709,-4.43813,-0.826515,1.17253
1304.214,22.2935,-4.43813,-0.84498,1.17543
1304.2979999999989,22.0204,-4.45167,-0.715724,1.1856
1304.3139999999985,21.9157,-4.43813,-0.709569,1.17471
1304.3640000000014,21.6789,-4.43361,-0.672638,1.18051
1304.4130000000005,21.4376,-4.42909,-0.617243,1.18124
1304.464,21.688,-4.42909,-0.629553,1.1914
1304.5159999999996,21.7245,-4.42909,-0.684948,1.18632
1304.5740000000003,21.7927,-4.42909,-0.789585,1.18632
1304.6130000000012,21.8701,-4.42909,-0.801895,1.18923
1304.6630000000005,21.9202,-4.42458,-0.826515,1.19503
1304.714,21.9976,-4.42909,-0.900376,1.19576
1304.7639999999992,21.993,-4.402,-0.869601,1.19576
1304.8129999999985,21.8383,-4.41555,-0.82036,1.1885
1304.8630000000012,21.6971,-4.39749,-0.77112,1.17979
1304.914000000001,21.4695,-4.41555,-0.746499,1.18487
1304.9629999999995,21.3694,-4.41103,-0.752654,1.18487
1305.012999999999,21.1964,-4.41555,-0.758809,1.1689
1305.065999999999,20.9733,-4.40652,-0.758809,1.16745
1305.1169999999984,20.814,-4.37943,-0.728034,1.17761
1305.1630000000005,20.7001,-4.35685,-0.691103,1.17979
1305.214,20.641,-4.36136,-0.703414,1.19866
1305.2659999999996,20.5772,-4.35233,-0.709569,1.19503
1305.3139999999985,20.4406,-4.34782,-0.77112,1.19285
1305.3630000000012,20.295,-4.34782,-0.869601,1.19213
1305.4130000000005,20.172,-4.35233,-0.992702,1.20011
1305.4700000000012,19.562,-4.34782,-0.998857,1.1914
1305.512999999999,19.4482,-4.3433,-0.974237,1.1914
1305.5629999999985,19.1933,-4.3433,-0.968082,1.1885
1305.6140000000014,18.9065,-4.35233,-0.900376,1.1885
1305.6630000000005,18.6379,-4.37039,-0.888066,1.1914
1305.7129999999995,18.3374,-4.35685,-0.875756,1.1885
1305.762999999999,18.1325,-4.37491,-0.851136,1.18414
1305.8739999999998,17.6955,-4.37943,-0.838825,1.17616
1305.921999999999,17.6272,-4.37039,-0.801895,1.17834
1306.0080000000016,17.3996,-4.37491,-0.789585,1.18995
1306.018,17.4041,-4.38394,-0.881911,1.17253
1306.065999999999,17.4314,-4.38394,-0.875756,1.17761
1306.1140000000014,17.5453,-4.41103,-0.980392,1.17979
1306.2000000000007,17.7683,-4.42006,-1.06656,1.18995
1306.2129999999995,17.8093,-4.42006,-1.06656,1.16963
1306.2740000000013,18.0187,-4.42006,-1.02348,1.17979
1306.3129999999985,18.1234,-4.42909,-1.01732,1.17834
1306.3630000000012,18.3192,-4.42458,-1.01732,1.18197
1306.447,18.7335,-4.43813,-0.961927,1.16817
1306.4629999999995,18.82,-4.43813,-0.968082,1.17108
1306.5139999999992,18.9383,-4.44716,-0.986547,1.16963
1306.5809999999983,19.1933,-4.46973,-1.04194,1.17398
1306.6140000000014,19.2752,-4.46973,-1.01732,1.16817
1306.7259999999987,19.4801,-4.47876,-0.851136,1.1718
1306.786,19.6622,-4.48328,-0.875756,1.16164
1306.8230000000003,19.8078,-4.48328,-0.900376,1.18051
1306.9259999999997,20.0537,-4.51037,-0.937307,1.17906
1306.9739999999983,20.1311,-4.51037,-0.937307,1.17035
1307.039000000001,20.1948,-4.5194,-0.912686,1.166
1307.0699999999997,20.1857,-4.5194,-0.881911,1.16164
1307.137999999999,20.1038,-4.52392,-0.851136,1.16527
1307.166000000001,20.0764,-4.5194,-0.826515,1.17108
1307.214,20.0446,-4.53295,-0.77112,1.15656
1307.262999999999,20.0218,-4.53746,-0.691103,1.15946
1307.3129999999985,20.0264,-4.52392,-0.697259,1.16672
1307.3630000000012,20.0264,-4.52392,-0.740344,1.15874
1307.414000000001,20.0036,-4.51037,-0.838825,1.16527
1307.4629999999995,20.0309,-4.49682,-0.838825,1.16745
1307.5139999999992,19.9672,-4.48779,-0.875756,1.15729
1307.5629999999985,19.9899,-4.4607,-0.894221,1.17616
1307.6130000000012,20.0901,-4.43813,-0.924996,1.1856
1307.6630000000005,20.1766,-4.43813,-0.974237,1.18269
1307.714,20.3223,-4.44264,-0.992702,1.17906
1307.762999999999,20.3268,-4.44264,-0.968082,1.18124
1307.8129999999985,20.3132,-4.43361,-0.888066,1.18705
1307.8630000000012,20.3223,-4.41555,-0.746499,1.18777
1307.9130000000005,20.345,-4.39749,-0.82036,1.18777
1307.9629999999995,20.4133,-4.38394,-0.851136,1.19576
1308.0139999999992,20.4725,-4.37943,-0.894221,1.19794
1308.0639999999985,20.5545,-4.38846,-0.894221,1.20229
1308.119999999999,20.7183,-4.37943,-0.875756,1.22334
1308.1749999999993,20.8367,-4.37943,-0.875756,1.20882
1308.2129999999995,20.8731,-4.37491,-0.912686,1.21536
1308.262999999999,21.0598,-4.37943,-1.06041,1.21536
1308.3129999999985,21.1873,-4.38394,-1.14658,1.20955
1308.3630000000012,21.21,-4.39297,-1.07272,1.20955
1308.4130000000005,21.1463,-4.39297,-1.02963,1.20302
1308.4629999999995,21.1144,-4.41103,-0.974237,1.21245
1308.512999999999,21.1235,-4.41555,-0.949617,1.22189
1308.5629999999985,21.0097,-4.42909,-0.906531,1.19721
1308.6130000000012,20.9323,-4.42909,-0.894221,1.20084
1308.6630000000005,20.8913,-4.41555,-0.918841,1.20157
1308.7129999999995,20.8185,-4.41555,-0.980392,1.21245
1308.762999999999,20.7684,-4.41555,-1.03579,1.21899
1308.8129999999985,20.6637,-4.41555,-1.10349,1.20955
1308.8630000000012,20.559,-4.42006,-1.20813,1.18705
1308.9130000000005,20.4771,-4.42909,-1.18966,1.2052
1308.9680000000008,20.4315,-4.43813,-1.20197,1.2081
1309.012999999999,20.4133,-4.44264,-1.20197,1.20737
1309.0999999999983,20.3359,-4.44264,-1.20813,1.20229
1309.1130000000012,20.345,-4.43813,-1.21429,1.20737
1309.1630000000005,20.2995,-4.43813,-1.2266,1.20882
1309.2220000000016,20.254,-4.42909,-1.20813,1.20011
1309.262999999999,20.1402,-4.42006,-1.15273,1.20592
1309.3410000000003,20.0036,-4.43813,-1.13427,1.19648
